".id"	"Name"	"Ideology"	"Icon"	"City"	"State"	"Latitude"	"Longitude"	"Location"	"city"
"1"	"Alliance for Catholic Tradition"	"Radical Traditional Catholicism"	"rad-trad-catholicism"	"Pleasant Unity"	"Pennsylvania"	40.240555	-79.457731	"(40.240555, -79.457731)"	"Buffalo, NY"
"1"	"Racial Nationalist Party of America"	"White Nationalist"	"white-nationalist"	"Lockport"	"New York"	43.172146	-78.683823	"(43.172146, -78.683823)"	"Buffalo, NY"
"1"	"Catholic Family News/Catholic Family Ministries Inc."	"Radical Traditional Catholicism"	"rad-trad-catholicism"	"Niagara Falls"	"New York"	43.086335	-79.059163	"(43.086335, -79.059163)"	"Buffalo, NY"
"1"	"Nation of Islam"	"Black Separatist"	"black-separatist"	"Buffalo"	"New York"	42.909791	-78.824274	"(42.909791, -78.824274)"	"Buffalo, NY"
"1"	"Blood and Honour U.S.A."	"Racist Skinhead"	"racist-skinhead"	"Altoona"	"Pennsylvania"	40.51868	-78.394735	"(40.51868, -78.394735)"	"Buffalo, NY"
"1"	"Heritage and Destiny"	"White Nationalist"	"white-nationalist"	"Little Orleans"	"Maryland"	39.704965	-78.364742	"(39.704965, -78.364742)"	"Buffalo, NY"
"1"	"Most Holy Family Monastery"	"Radical Traditional Catholicism"	"rad-trad-catholicism"	"Fillmore"	"New York"	42.438091	-77.985067	"(42.438091, -77.985067)"	"Buffalo, NY"
"1"	"American Freedom Party"	"White Nationalist"	"white-nationalist"	"Incomplete"	"Indiana"	40.62	-79.15	"(40.62, -79.15)"	"Buffalo, NY"
"1"	"Sadistic Souls Motorcycle Club"	"Neo-Nazi"	"neo-nazi"	"Friedens"	"Pennsylvania"	40.05	-78.99	"(40.05, -78.99)"	"Buffalo, NY"
"1"	"Ku Klos Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Oil City"	"Pennsylvania"	41.433948	-79.706441	"(41.433948, -79.706441)"	"Buffalo, NY"
"2"	"American Nazi Party"	"Neo-Nazi"	"neo-nazi"	""	"West Virginia"	38.312047	-81.482819	"(38.312047, -81.482819)"	"Cleveland, OH"
"2"	"Blood and Honour U.S.A."	"Racist Skinhead"	"racist-skinhead"	"Salem"	"Ohio"	40.9	-80.85	"(40.9, -80.85)"	"Cleveland, OH"
"2"	"Original Knight Riders Knights of the Ku Klux Klan (W. Va.)"	"Ku Klux Klan"	"kkk"	"Charleston"	"Virginia"	38.337969	-81.6107	"(38.337969, -81.6107)"	"Cleveland, OH"
"2"	"Ku Klos Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Lenoir"	"North Carolina"	35.914019	-81.538984	"(35.914019, -81.538984)"	"Cleveland, OH"
"2"	"National Alliance"	"Neo-Nazi"	"neo-nazi"	"Parma"	"Ohio"	41.391641	-81.702104	"(41.391641, -81.702104)"	"Cleveland, OH"
"2"	"Original Knight Riders Knights of the Ku Klux Klan (W. Va.)"	"Ku Klux Klan"	"kkk"	"Beckley"	"West Virginia"	37.799995	-81.175906	"(37.799995, -81.175906)"	"Cleveland, OH"
"2"	"Pass the Salt Ministries"	"Anti-LGBT"	"anti-lgbt"	"Hebron"	"Ohio"	39.96	-82.49	"(39.96, -82.49)"	"Cleveland, OH"
"2"	"National Alliance"	"Neo-Nazi"	"neo-nazi"	"Mountain City"	"Tennessee"	36.47	-81.8	"(36.47, -81.8)"	"Cleveland, OH"
"2"	"Geauga Constitutional Council"	"General Hate"	"other"	"Mayfield Heights"	"Ohio"	41.525337	-81.438772	"(41.525337, -81.438772)"	"Cleveland, OH"
"2"	"National Socialist Freedom Movement"	"Neo-Nazi"	"neo-nazi"	""	"Ohio"	41.044038	-81.521241	"(41.044038, -81.521241)"	"Cleveland, OH"
"2"	"Ku Klos Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Butler"	"Tennessee"	36.318346	-81.975299	"(36.318346, -81.975299)"	"Cleveland, OH"
"3"	"Sadistic Souls Motorcycle Club"	"Neo-Nazi"	"neo-nazi"	"Crestline"	"Ohio"	40.78	-82.73	"(40.78, -82.73)"	"Columbus, OH"
"3"	"Advanced White Society"	"White Nationalist"	"white-nationalist"	"Delaware"	"Delaware"	40.298672	-83.067965	"(40.298672, -83.067965)"	"Columbus, OH"
"3"	"Original Knight Riders Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Columbus"	"Ohio"	39.96026	-83.00928	"(39.96026, -83.00928)"	"Columbus, OH"
"3"	"Loyal White Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	""	"Ohio"	39.96026	-83.00928	"(39.96026, -83.00928)"	"Columbus, OH"
"3"	"Nation of Islam"	"Black Separatist"	"black-separatist"	"Detroit"	"Michigan"	42.399173	-83.159108	"(42.399173, -83.159108)"	"Columbus, OH"
"3"	"NSM88 Records"	"Racist Music"	"racist-music"	"Detroit"	"Michigan"	42.33	-83.04	"(42.33, -83.04)"	"Columbus, OH"
"3"	"Council of Conservative Citizens"	"White Nationalist"	"white-nationalist"	"Kingsport"	"Tennessee"	36.54939	-82.562369	"(36.54939, -82.562369)"	"Columbus, OH"
"3"	"All Eyes on Egypt Bookstore"	"Black Separatist"	"black-separatist"	"Milledgeville"	"Georgia"	33.06	-83.21	"(33.06, -83.21)"	"Columbus, OH"
"3"	"The Daily Stormer"	"White Nationalist"	"white-nationalist"	"Worthington"	"Ohio"	40.1	-83.01	"(40.1, -83.01)"	"Columbus, OH"
"3"	"National Socialist Movement"	"Neo-Nazi"	"neo-nazi"	"Toledo"	"Ohio"	41.66	-83.55	"(41.66, -83.55)"	"Columbus, OH"
"3"	"Vinlanders Ohio"	"Racist Skinhead"	"racist-skinhead"	""	"Ohio"	40.103832	-83.030024	"(40.103832, -83.030024)"	"Columbus, OH"
"3"	"American Nazi Party"	"Neo-Nazi"	"neo-nazi"	"Westland"	"Michigan"	42.335811	-83.38428	"(42.335811, -83.38428)"	"Columbus, OH"
"3"	"ISD Records"	"Racist Music"	"racist-music"	"Lancaster"	"Ohio"	39.713675	-82.599329	"(39.713675, -82.599329)"	"Columbus, OH"
"3"	"Southern National Congress"	"Neo-Confederate"	"neo-confederate"	"Travelers Rest"	"South Carolina"	34.967616	-82.443454	"(34.967616, -82.443454)"	"Columbus, OH"
"3"	"Mission: America"	"Anti-LGBT"	"anti-lgbt"	"Columbus"	"Ohio"	39.955692	-82.934021	"(39.955692, -82.934021)"	"Columbus, OH"
"3"	"Pass the Salt Ministries"	"Anti-LGBT"	"anti-lgbt"	"Hebron"	"Ohio"	39.96	-82.49	"(39.96, -82.49)"	"Columbus, OH"
"3"	"Ku Klos Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Kingsport"	"Tennessee"	36.534534	-82.486105	"(36.534534, -82.486105)"	"Columbus, OH"
"3"	"American Nazi Party"	"Neo-Nazi"	"neo-nazi"	""	"Ohio"	40.103832	-83.020024	"(40.103832, -83.020024)"	"Columbus, OH"
"3"	"Supreme White Alliance"	"Racist Skinhead"	"racist-skinhead"	"Columbus"	"Ohio"	40.113832	-83.020024	"(40.113832, -83.020024)"	"Columbus, OH"
"3"	"Dixie Republic"	"Neo-Confederate"	"neo-confederate"	"Travelers Rest"	"South Carolina"	34.977616	-82.443454	"(34.977616, -82.443454)"	"Columbus, OH"
"3"	"NS Publications"	"Neo-Nazi"	"neo-nazi"	"Wyandotte"	"Michigan"	42.214206	-83.149923	"(42.214206, -83.149923)"	"Columbus, OH"
"3"	"Non-Universal Teaching Ministries"	"Christian Identity"	"christian-identity"	"Fostoria"	"Ohio"	41.156998	-83.41687	"(41.156998, -83.41687)"	"Columbus, OH"
"3"	"Nation of Islam"	"Black Separatist"	"black-separatist"	"Columbus"	"Ohio"	39.970594	-82.968973	"(39.970594, -82.968973)"	"Columbus, OH"
"3"	"National Socialist Movement"	"Neo-Nazi"	"neo-nazi"	"Detroit"	"Michigan"	42.401041	-82.998534	"(42.401041, -82.998534)"	"Columbus, OH"
"3"	"White Rabbit Radio"	"White Nationalist"	"white-nationalist"	"Dearborn Heights"	"Michigan"	42.277306	-83.263981	"(42.277306, -83.263981)"	"Columbus, OH"
"3"	"Cen_ter for the Advance_ment of Occi_den_tal Cul_ture (CAOC)"	"White Nationalist"	"white-nationalist"	"Highland Township"	"Michigan"	42.666503	-83.613557	"(42.666503, -83.613557)"	"Columbus, OH"
"3"	"Aryan Strikeforce"	"Racist Skinhead"	"racist-skinhead"	""	"Ohio"	40.41	-82.9	"(40.41, -82.9)"	"Columbus, OH"
"3"	"Ku Klos Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Church Hill"	"Tennessee"	36.52232	-82.713492	"(36.52232, -82.713492)"	"Columbus, OH"
"3"	"Northern Hammerskins"	"Racist Skinhead"	"racist-skinhead"	"Detroit"	"Michigan"	42.333423	-83.04	"(42.333423, -83.04)"	"Columbus, OH"
"3"	"Aryan Terror Brigade"	"Racist Skinhead"	"racist-skinhead"	""	"Ohio"	40.408529	-82.9	"(40.408529, -82.9)"	"Columbus, OH"
"3"	"Advanced White Society"	"White Nationalist"	"white-nationalist"	"Statewide"	"Ohio"	40.417287	-82.907123	"(40.417287, -82.907123)"	"Columbus, OH"
"3"	"Aryan Nations OH"	"Neo-Nazi"	"neo-nazi"	"Bainbridge"	"Ohio"	39.22	-83.27	"(39.22, -83.27)"	"Columbus, OH"
"3"	"Society for the Practical Establishment and Perpetuation of the Ten Commandments"	"General Hate"	"other"	"Eatonton"	"Georgia"	33.326799	-83.388496	"(33.326799, -83.388496)"	"Columbus, OH"
"3"	"Southern Mountain Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Harrogate"	"Tennessee"	36.58	-83.65	"(36.58, -83.65)"	"Columbus, OH"
"4"	"Sadistic Souls Motorcycle Club"	"Neo-Nazi"	"neo-nazi"	"Crestline"	"Ohio"	40.78	-82.73	"(40.78, -82.73)"	"Detroit, MI"
"4"	"Advanced White Society"	"White Nationalist"	"white-nationalist"	"Delaware"	"Delaware"	40.298672	-83.067965	"(40.298672, -83.067965)"	"Detroit, MI"
"4"	"Original Knight Riders Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Columbus"	"Ohio"	39.96026	-83.00928	"(39.96026, -83.00928)"	"Detroit, MI"
"4"	"Loyal White Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	""	"Ohio"	39.96026	-83.00928	"(39.96026, -83.00928)"	"Detroit, MI"
"4"	"Nation of Islam"	"Black Separatist"	"black-separatist"	"Detroit"	"Michigan"	42.399173	-83.159108	"(42.399173, -83.159108)"	"Detroit, MI"
"4"	"NSM88 Records"	"Racist Music"	"racist-music"	"Detroit"	"Michigan"	42.33	-83.04	"(42.33, -83.04)"	"Detroit, MI"
"4"	"The Daily Stormer"	"White Nationalist"	"white-nationalist"	"Worthington"	"Ohio"	40.1	-83.01	"(40.1, -83.01)"	"Detroit, MI"
"4"	"National Socialist Movement"	"Neo-Nazi"	"neo-nazi"	"Toledo"	"Ohio"	41.66	-83.55	"(41.66, -83.55)"	"Detroit, MI"
"4"	"Vinlanders Ohio"	"Racist Skinhead"	"racist-skinhead"	""	"Ohio"	40.103832	-83.030024	"(40.103832, -83.030024)"	"Detroit, MI"
"4"	"American Nazi Party"	"Neo-Nazi"	"neo-nazi"	"Westland"	"Michigan"	42.335811	-83.38428	"(42.335811, -83.38428)"	"Detroit, MI"
"4"	"ISD Records"	"Racist Music"	"racist-music"	"Lancaster"	"Ohio"	39.713675	-82.599329	"(39.713675, -82.599329)"	"Detroit, MI"
"4"	"Mission: America"	"Anti-LGBT"	"anti-lgbt"	"Columbus"	"Ohio"	39.955692	-82.934021	"(39.955692, -82.934021)"	"Detroit, MI"
"4"	"Pass the Salt Ministries"	"Anti-LGBT"	"anti-lgbt"	"Hebron"	"Ohio"	39.96	-82.49	"(39.96, -82.49)"	"Detroit, MI"
"4"	"American Nazi Party"	"Neo-Nazi"	"neo-nazi"	""	"Ohio"	40.103832	-83.020024	"(40.103832, -83.020024)"	"Detroit, MI"
"4"	"Supreme White Alliance"	"Racist Skinhead"	"racist-skinhead"	"Columbus"	"Ohio"	40.113832	-83.020024	"(40.113832, -83.020024)"	"Detroit, MI"
"4"	"NS Publications"	"Neo-Nazi"	"neo-nazi"	"Wyandotte"	"Michigan"	42.214206	-83.149923	"(42.214206, -83.149923)"	"Detroit, MI"
"4"	"Non-Universal Teaching Ministries"	"Christian Identity"	"christian-identity"	"Fostoria"	"Ohio"	41.156998	-83.41687	"(41.156998, -83.41687)"	"Detroit, MI"
"4"	"Nation of Islam"	"Black Separatist"	"black-separatist"	"Columbus"	"Ohio"	39.970594	-82.968973	"(39.970594, -82.968973)"	"Detroit, MI"
"4"	"National Socialist Movement"	"Neo-Nazi"	"neo-nazi"	"Detroit"	"Michigan"	42.401041	-82.998534	"(42.401041, -82.998534)"	"Detroit, MI"
"4"	"White Rabbit Radio"	"White Nationalist"	"white-nationalist"	"Dearborn Heights"	"Michigan"	42.277306	-83.263981	"(42.277306, -83.263981)"	"Detroit, MI"
"4"	"Cen_ter for the Advance_ment of Occi_den_tal Cul_ture (CAOC)"	"White Nationalist"	"white-nationalist"	"Highland Township"	"Michigan"	42.666503	-83.613557	"(42.666503, -83.613557)"	"Detroit, MI"
"4"	"Aryan Strikeforce"	"Racist Skinhead"	"racist-skinhead"	""	"Ohio"	40.41	-82.9	"(40.41, -82.9)"	"Detroit, MI"
"4"	"Ku Klos Knights of the Ku Klux Klan"	"Ku Klux Klan"	"kkk"	"Church Hill"	"Tennessee"	36.52232	-82.713492	"(36.52232, -82.713492)"	"Detroit, MI"
"4"	"Northern Hammerskins"	"Racist Skinhead"	"racist-skinhead"	"Detroit"	"Michigan"	42.333423	-83.04	"(42.333423, -83.04)"	"Detroit, MI"
"4"	"Aryan Terror Brigade"	"Racist Skinhead"	"racist-skinhead"	""	"Ohio"	40.408529	-82.9	"(40.408529, -82.9)"	"Detroit, MI"
"4"	"Advanced White Society"	"White Nationalist"	"white-nationalist"	"Statewide"	"Ohio"	40.417287	-82.907123	"(40.417287, -82.907123)"	"Detroit, MI"
